"event","experiment time","system time","system time text"
"START",0.000000000E0,1630874937.921,"2021-09-06 02:18:57.921 UTC+05:30"
"PAUSE",7.916286809E2,1630875729.549,"2021-09-06 02:32:09.549 UTC+05:30"
