"event","experiment time","system time","system time text"
"START",0.000000000E0,1630873418.865,"2021-09-06 01:53:38.865 UTC+05:30"
"PAUSE",1.099279433E3,1630874518.144,"2021-09-06 02:11:58.144 UTC+05:30"
