"Time (s)","Illuminance (lx)"
1.148926411E2,1.250000000E2
1.150926496E2,1.260000000E2
1.154926473E2,1.280000000E2
1.158926436E2,1.270000000E2
1.168925982E2,1.260000000E2
1.172925985E2,1.250000000E2
1.190925990E2,1.240000000E2
1.198925987E2,1.230000000E2
1.200926063E2,1.240000000E2
1.212926063E2,1.230000000E2
1.214925987E2,1.240000000E2
1.222925989E2,1.230000000E2
1.226926125E2,1.240000000E2
1.230925979E2,1.250000000E2
1.246925988E2,1.240000000E2
1.254925915E2,1.250000000E2
1.256926158E2,1.260000000E2
1.270926023E2,1.270000000E2
1.274926020E2,1.260000000E2
1.286926029E2,1.270000000E2
1.296926527E2,1.260000000E2
1.302926514E2,1.250000000E2
1.304926605E2,1.260000000E2
1.308926156E2,1.270000000E2
1.310926107E2,1.260000000E2
1.314925854E2,1.250000000E2
1.318926020E2,1.260000000E2
1.320926104E2,1.250000000E2
1.324926020E2,1.260000000E2
1.328926104E2,1.250000000E2
1.352926029E2,1.260000000E2
1.360926029E2,1.250000000E2
1.364926031E2,1.240000000E2
1.366926021E2,1.250000000E2
1.372925854E2,1.260000000E2
1.376926101E2,1.270000000E2
1.378926023E2,1.260000000E2
1.386926098E2,1.250000000E2
1.392926029E2,1.230000000E2
1.396926026E2,1.220000000E2
1.408926020E2,1.210000000E2
1.416926029E2,1.220000000E2
1.422926028E2,1.210000000E2
1.428926104E2,1.200000000E2
1.436926387E2,1.190000000E2
1.440926363E2,1.180000000E2
1.446926395E2,1.190000000E2
1.450926441E2,1.180000000E2
1.452926451E2,1.170000000E2
1.468926109E2,1.160000000E2
1.470926109E2,1.150000000E2
1.474926107E2,1.160000000E2
1.478926104E2,1.170000000E2
1.480926104E2,1.160000000E2
1.482926106E2,1.170000000E2
1.486925865E2,1.180000000E2
1.488925861E2,1.190000000E2
1.492926104E2,1.200000000E2
1.496926021E2,1.210000000E2
1.502926041E2,1.220000000E2
1.504926020E2,1.230000000E2
1.506926029E2,1.250000000E2
1.512926105E2,1.240000000E2
1.530926104E2,1.250000000E2
1.538926026E2,1.260000000E2
1.540926026E2,1.270000000E2
1.546926182E2,1.260000000E2
1.550926023E2,1.250000000E2
1.556926028E2,1.230000000E2
1.559126021E2,1.170000000E2
1.561126026E2,1.070000000E2
1.563126104E2,9.900000000E1
1.565126104E2,9.500000000E1
1.567126020E2,9.200000000E1
1.569126029E2,8.900000000E1
1.571126020E2,8.800000000E1
1.573126020E2,8.600000000E1
1.575726023E2,8.400000000E1
1.577726023E2,9.300000000E1
1.579726029E2,1.110000000E2
1.581726041E2,1.220000000E2
1.585725954E2,1.210000000E2
1.595726026E2,1.200000000E2
1.609726026E2,1.190000000E2
1.613726104E2,1.200000000E2
1.623726503E2,1.190000000E2
1.629726461E2,1.200000000E2
1.633726511E2,1.190000000E2
1.643725953E2,1.200000000E2
1.647726021E2,1.210000000E2
1.649726104E2,1.220000000E2
1.655726031E2,1.210000000E2
1.663726031E2,1.200000000E2
1.667726029E2,1.190000000E2
1.677726020E2,1.180000000E2
1.679726023E2,1.170000000E2
1.683726106E2,1.160000000E2
1.685726104E2,1.150000000E2
1.687726106E2,1.160000000E2
1.689726107E2,1.150000000E2
1.692126023E2,1.140000000E2
1.694126031E2,1.020000000E2
1.696126104E2,6.000000000E1
1.698126041E2,1.700000000E1
1.700126105E2,2.000000000E0
1.704126106E2,1.000000000E0
1.716126482E2,2.000000000E0
1.736129600E2,3.000000000E0
1.786126106E2,4.000000000E0
1.788126029E2,3.000000000E0
1.792126031E2,2.000000000E0
2.268125913E2,1.000000000E0
2.284125984E2,2.000000000E0
2.300125980E2,1.000000000E0
2.304125982E2,2.000000000E0
2.318126492E2,1.000000000E0
2.326129307E2,2.000000000E0
2.334125978E2,1.000000000E0
2.352125988E2,2.000000000E0
2.360126059E2,1.000000000E0
2.368126061E2,2.000000000E0
2.372125978E2,3.000000000E0
2.376126062E2,2.000000000E0
2.380125981E2,1.000000000E0
2.414125980E2,2.000000000E0
2.416125912E2,1.700000000E1
2.418125818E2,5.900000000E1
2.420126059E2,8.600000000E1
2.424125980E2,8.700000000E1
2.428126064E2,8.600000000E1
2.430125988E2,8.700000000E1
2.436126069E2,8.800000000E1
2.470125982E2,8.900000000E1
2.472125988E2,9.000000000E1
2.474126069E2,8.900000000E1
2.476125903E2,9.000000000E1
2.480125983E2,8.900000000E1
2.482125977E2,9.000000000E1
2.484126062E2,8.900000000E1
2.498126460E2,8.800000000E1
2.500126098E2,8.700000000E1
2.502126139E2,8.800000000E1
2.504130313E2,8.700000000E1
2.506125975E2,8.800000000E1
2.518125987E2,8.700000000E1
2.526125980E2,8.800000000E1
2.530125988E2,8.700000000E1
2.552125984E2,8.800000000E1
2.558126061E2,8.700000000E1
2.566125833E2,8.800000000E1
2.570125985E2,8.700000000E1
2.574125986E2,8.600000000E1
2.578125978E2,8.500000000E1
2.580126061E2,8.400000000E1
2.582125986E2,8.300000000E1
