Time (s),Illuminance (lx)
7.01E+02,9.50E+01
7.02E+02,9.40E+01
7.02E+02,9.30E+01
7.02E+02,9.40E+01
7.02E+02,9.70E+01
7.02E+02,9.80E+01
7.03E+02,9.90E+01
7.04E+02,9.80E+01
7.05E+02,9.90E+01
7.06E+02,1.00E+02
7.07E+02,1.01E+02
7.09E+02,1.00E+02
7.09E+02,9.90E+01
7.10E+02,9.80E+01
7.10E+02,9.70E+01
7.10E+02,9.50E+01
7.10E+02,9.40E+01
7.10E+02,9.30E+01
7.11E+02,9.40E+01
7.12E+02,9.60E+01
7.12E+02,9.70E+01
7.13E+02,9.80E+01
7.13E+02,9.70E+01
7.13E+02,9.60E+01
7.14E+02,9.10E+01
7.14E+02,8.30E+01
7.15E+02,8.00E+01
7.15E+02,7.90E+01
7.15E+02,8.00E+01
7.16E+02,7.70E+01
7.16E+02,6.60E+01
7.16E+02,5.70E+01
7.16E+02,5.60E+01
7.17E+02,5.50E+01
7.17E+02,5.60E+01
7.18E+02,5.20E+01
7.18E+02,4.30E+01
7.18E+02,3.80E+01
7.18E+02,3.70E+01
7.20E+02,3.40E+01
7.20E+02,2.60E+01
7.20E+02,2.10E+01
7.20E+02,2.00E+01
7.20E+02,1.90E+01
7.22E+02,2.00E+01
7.22E+02,2.10E+01
7.23E+02,1.80E+01
7.23E+02,1.40E+01
7.23E+02,1.20E+01
7.24E+02,1.30E+01
7.25E+02,1.20E+01
7.25E+02,9.00E+00
7.25E+02,8.00E+00
7.25E+02,7.00E+00
7.25E+02,8.00E+00
7.26E+02,7.00E+00
7.27E+02,6.00E+00
7.28E+02,4.00E+00
7.28E+02,3.00E+00
7.30E+02,2.00E+00
7.30E+02,1.00E+00
7.32E+02,2.00E+00
7.32E+02,1.00E+00
7.36E+02,0.00E+00
