Time (s),Illuminance (lx)
1.08E+03,1.70E+02
1.08E+03,1.71E+02
1.08E+03,1.72E+02
1.08E+03,1.74E+02
1.08E+03,1.75E+02
1.08E+03,1.77E+02
1.08E+03,1.78E+02
1.09E+03,1.79E+02
1.09E+03,1.80E+02
1.09E+03,1.81E+02
1.09E+03,1.82E+02
1.09E+03,1.81E+02
1.09E+03,1.80E+02
1.09E+03,1.82E+02
1.09E+03,1.83E+02
1.09E+03,1.84E+02
1.09E+03,1.85E+02
1.09E+03,1.86E+02
1.09E+03,1.87E+02
1.09E+03,1.89E+02
1.09E+03,1.90E+02
1.09E+03,1.91E+02
1.09E+03,1.92E+02
1.09E+03,1.91E+02
1.09E+03,1.84E+02
1.09E+03,1.69E+02
1.09E+03,1.62E+02
1.09E+03,1.63E+02
1.09E+03,1.64E+02
1.10E+03,1.62E+02
1.10E+03,1.61E+02
1.10E+03,1.57E+02
1.10E+03,1.53E+02
1.10E+03,1.50E+02
1.10E+03,1.45E+02
1.10E+03,1.42E+02
1.10E+03,1.43E+02
1.10E+03,1.44E+02
1.10E+03,1.46E+02
1.10E+03,1.45E+02
1.10E+03,1.46E+02
1.10E+03,1.47E+02
1.10E+03,1.49E+02
1.10E+03,1.51E+02
1.10E+03,1.52E+02
1.10E+03,1.53E+02
1.10E+03,1.55E+02
1.10E+03,1.56E+02
1.10E+03,1.57E+02
1.10E+03,1.58E+02
1.10E+03,1.57E+02
1.10E+03,1.58E+02
1.10E+03,1.59E+02
1.10E+03,1.58E+02
1.11E+03,1.59E+02
1.11E+03,1.56E+02
1.11E+03,1.53E+02
1.11E+03,1.52E+02
1.11E+03,1.53E+02
1.11E+03,1.55E+02
1.11E+03,1.57E+02
1.11E+03,1.59E+02
1.11E+03,1.61E+02
1.11E+03,1.62E+02
1.11E+03,1.63E+02
1.11E+03,1.64E+02
1.11E+03,1.65E+02
1.11E+03,1.66E+02
1.11E+03,1.67E+02
1.11E+03,1.68E+02
1.11E+03,1.69E+02
1.11E+03,1.70E+02
