"Time (s)","Illuminance (lx)"
1.751328220E-1,3.470000000E2
3.751312080E-1,3.640000000E2
5.751299060E-1,3.680000000E2
7.751361560E-1,3.690000000E2
9.751311560E-1,3.730000000E2
1.175122614E0,3.710000000E2
1.375124385E0,3.700000000E2
1.575122354E0,3.690000000E2
2.175098135E0,3.700000000E2
2.375099281E0,3.730000000E2
2.575404489E0,3.760000000E2
2.775065270E0,3.770000000E2
2.975070322E0,3.810000000E2
3.175081364E0,3.840000000E2
3.575081625E0,3.830000000E2
3.775088916E0,3.810000000E2
3.975081364E0,3.790000000E2
4.375081364E0,3.780000000E2
4.575089177E0,3.770000000E2
4.775081416E0,3.760000000E2
4.975080843E0,3.750000000E2
5.175081364E0,3.730000000E2
5.375088708E0,3.700000000E2
5.575081364E0,3.690000000E2
5.775080947E0,3.670000000E2
5.975080635E0,3.650000000E2
6.175089177E0,3.640000000E2
6.975112562E0,3.650000000E2
7.375088656E0,3.640000000E2
7.975081364E0,3.630000000E2
8.375081572E0,3.620000000E2
8.975088968E0,3.610000000E2
9.375080843E0,3.600000000E2
9.575080322E0,3.610000000E2
1.017507308E1,3.600000000E2
1.117508241E1,3.590000000E2
1.157508241E1,3.580000000E2
1.177508084E1,3.590000000E2
1.277508142E1,3.580000000E2
1.297508923E1,3.570000000E2
1.317508090E1,3.580000000E2
1.357508058E1,3.590000000E2
1.457513360E1,3.600000000E2
1.477513511E1,3.590000000E2
1.557512933E1,3.600000000E2
1.597513308E1,3.610000000E2
1.617513329E1,3.630000000E2
1.677509840E1,3.640000000E2
1.717522636E1,3.650000000E2
1.737507272E1,3.640000000E2
1.797508892E1,3.650000000E2
1.817508131E1,3.660000000E2
1.857508058E1,3.640000000E2
1.877508892E1,3.630000000E2
1.917508897E1,3.620000000E2
1.977508912E1,3.630000000E2
2.037508897E1,3.610000000E2
2.057508136E1,3.590000000E2
2.077508058E1,3.570000000E2
2.097507845E1,3.560000000E2
2.117506475E1,3.550000000E2
2.137508886E1,3.540000000E2
2.277508918E1,3.530000000E2
2.337508064E1,3.520000000E2
2.377508053E1,3.530000000E2
2.397508162E1,3.520000000E2
2.457506569E1,3.510000000E2
2.477507386E1,3.520000000E2
2.637512626E1,3.530000000E2
2.677512756E1,3.540000000E2
2.697512579E1,3.550000000E2
2.717512834E1,3.560000000E2
2.737512985E1,3.570000000E2
2.777509777E1,3.580000000E2
2.797508483E1,3.590000000E2
2.817508337E1,3.600000000E2
2.877510916E1,3.590000000E2
2.977509228E1,3.580000000E2
3.057509192E1,3.590000000E2
3.137508572E1,3.580000000E2
3.157508436E1,3.560000000E2
3.177508364E1,3.550000000E2
3.217509926E1,3.540000000E2
3.237508364E1,3.530000000E2
3.257508416E1,3.500000000E2
3.277509275E1,3.480000000E2
3.297508390E1,3.460000000E2
3.317509384E1,3.450000000E2
3.337508390E1,3.430000000E2
3.357508395E1,3.440000000E2
3.377509223E1,3.430000000E2
3.397508572E1,3.450000000E2
3.417508577E1,3.480000000E2
3.437508442E1,3.510000000E2
3.497508442E1,3.500000000E2
3.537508624E1,3.490000000E2
3.557507572E1,3.480000000E2
3.597508551E1,3.470000000E2
3.617513593E1,3.460000000E2
3.637513895E1,3.450000000E2
3.757508577E1,3.440000000E2
3.777509197E1,3.430000000E2
3.897508358E1,3.420000000E2
3.937507780E1,3.430000000E2
4.037509197E1,3.420000000E2
4.097508442E1,3.410000000E2
4.137509197E1,3.400000000E2
4.177508390E1,3.410000000E2
4.197509192E1,3.400000000E2
4.237508384E1,3.390000000E2
4.277507655E1,3.400000000E2
4.357508416E1,3.390000000E2
4.477508395E1,3.380000000E2
4.497508369E1,3.390000000E2
4.557508390E1,3.380000000E2
4.617508395E1,3.370000000E2
4.637507676E1,3.360000000E2
4.837509254E1,3.370000000E2
4.877508442E1,3.380000000E2
4.957509197E1,3.370000000E2
4.997507640E1,3.380000000E2
5.017506900E1,3.390000000E2
5.037508488E1,3.400000000E2
5.077508468E1,3.410000000E2
5.097509228E1,3.400000000E2
5.137509249E1,3.380000000E2
5.157508337E1,3.370000000E2
5.177509202E1,3.360000000E2
5.197508468E1,3.370000000E2
5.217509197E1,3.380000000E2
5.237508468E1,3.390000000E2
5.297509197E1,3.380000000E2
5.317509197E1,3.370000000E2
5.337508337E1,3.350000000E2
5.357507608E1,3.330000000E2
5.377506723E1,3.300000000E2
5.397508421E1,3.270000000E2
5.417508447E1,3.250000000E2
5.437508416E1,3.240000000E2
5.497512905E1,3.250000000E2
5.517512520E1,3.260000000E2
