Time (s),Illuminance (lx)
179.8550844,265
180.0551152,267
180.255134,269
180.4551376,270
180.6551259,271
180.8551369,272
181.0551366,273
181.8551348,274
182.0551004,275
182.2551319,276
182.4550994,278
183.0550684,279
183.2550874,278
184.4550927,276
184.6550922,275
184.8550847,274
185.0550924,273
186.0550922,274
186.2550838,273
186.6550771,274
186.855068,272
187.2550839,271
187.6550921,272
187.8550927,273
188.2550841,272
188.455104,271
188.6550842,270
188.8550844,269
189.4550859,268
189.6550922,269
189.8550846,270
190.0550976,271
190.4550775,272
190.8551162,271
191.4551374,270
191.6551285,271
191.8551298,270
192.0551246,269
192.2551296,268
192.4551322,266
192.6551251,265
192.8551347,263
193.0551342,262
193.4550943,261
193.6552437,260
194.0550775,259
194.2550846,258
194.4550924,260
194.8551091,261
195.2550836,260
195.6550838,259
196.0550967,260
196.4550846,261
196.6550924,262
196.8550846,261
197.2550846,260
198.8550841,259
200.0550839,260
200.2550922,261
200.455084,262
200.6550849,264
200.8550781,266
201.0550755,267
201.6550924,266
201.8550838,267
202.0550846,266
202.4550839,267
202.6550919,266
202.8550846,267
204.4550761,268
204.8550854,269
205.2550852,268
205.4550839,269
206.0550924,270
206.2550844,269
206.4550847,268
207.2550847,267
207.6550845,268
208.2550923,269
208.455085,267
209.4550923,268
209.6550847,267
211.4550778,268
213.0550847,269
213.2550925,268
213.455092,267
213.8550842,266
214.4550926,265
215.0550975,264
215.2550923,265
215.8550847,266
217.6550921,267
218.0550922,266
218.6550847,265
219.0550842,266
220.455084,267
221.6550898,266
221.8550766,265
222.4550839,264
223.0550925,263
223.2550844,264
223.455092,265
224.255092,264
224.455085,263
224.655092,262
224.8550847,261
225.4550777,263
225.8550847,262
226.0550837,263
226.2550847,262
226.4550926,260
228.4550923,261
229.0550842,262
229.6568775,260
229.855086,256
230.0550839,255
230.4550841,254
230.6550862,255
230.8550922,256
231.4550847,257
231.8550852,256
232.0550842,255
232.2550768,253
232.4550685,252
232.6550842,251
232.8550928,252
233.4550839,253
234.455134,252
234.6551277,251
234.8551327,252
235.8550757,251
237.0550852,249
237.255092,244
237.4550925,240
237.6550922,239
237.8550928,237
238.655092,238
240.2550839,237
240.4550848,235
240.6550923,228
240.8550847,221
241.0550839,218
241.6550922,219
242.055085,220
243.0950845,218
243.2950943,202
243.4950844,186
243.6950766,185
243.8950988,184
244.0951312,183
244.6950927,184
245.095084,185
245.4950839,186
245.6950847,185
245.8950925,175
246.0950844,161
246.2950839,157
246.4950923,156
246.6950842,155
247.4950837,156
247.6950847,157
247.8950923,152
248.0950847,138
248.2950923,127
248.4950847,126
248.6950923,125
249.4950925,126
249.8950842,127
250.4950847,128
250.6950773,129
250.9350858,128
251.1350839,113
251.3350777,97
251.5350888,96
251.7350839,95
251.9351215,94
253.135135,88
253.3351379,81
253.5351385,80
253.7351371,79
254.3350977,78
254.7350925,79
255.1350684,78
255.3350842,75
255.5350858,72
255.7350839,71
257.3350839,72
257.7350839,71
257.9350845,66
258.1350842,61
258.3350847,60
258.5350666,59
258.7350925,58
258.935085,57
259.5350839,58
260.5350848,59
260.935085,46
261.1350925,30
261.3350923,26
261.5350847,25
261.7350839,24
261.9350687,23
262.3350842,24
262.7350839,25
262.9350861,22
263.1350925,14
263.3350854,9
263.5350923,7
264.3350839,8
264.7350839,7
264.9350925,6
265.1350845,3
265.335085,2
267.1351413,1
269.3350841,2
271.7350862,1
271.9350925,2
272.3350693,1
273.3350925,2
273.7350922,1
278.5350846,2
282.9350772,1
285.1351365,2
285.535136,1
