"event","experiment time","system time","system time text"
"START",0.000000000E0,1630867224.017,"2021-09-06 00:10:24.017 UTC+05:30"
"PAUSE",1.158835911E2,1630867339.900,"2021-09-06 00:12:19.900 UTC+05:30"
